id,K_D_gmax,KV3_1_gmax,KV2_FAST_gmax,KV1_4_gmax,KV4_2_gmax,K_M_gmax,SK_gmax,NA_T_AX_gmax,NA_T_SD_gmax,NA_P_gmax,CA_LVA_gmax,CA_HVA_gmax,IH_gmax,n_spikes,spike_freq,isi_skewness,cma_n_bursts,cma_burst
90,0.0502312,0.0327359,0.026947,0.0271554,0,0.264079,0,17.69,0.204532,0.499672,0.0412336,0.027401,0,4,0.8,0.250579,0,0
91,0.0645573,1.14049,0.0101223,0.358009,0,0.366426,0.000132881,42.2343,1.54985,1.49855,0.011319,0.248974,0.0146918,675,135,0.0898355,0,0
92,0.117276,3.71803,0.00285862,0.0321146,0,0.199521,0,22.1503,1.93708,0.876882,0.729733,0,0.000333811,1126,225.2,0.652535,0,0
93,0.0462964,0.0114409,0.0534317,0.271404,0.157417,0.0923366,0,33.0699,3.1892,0.71217,0.333831,0.0126756,0,112,22.4,0.389903,0,0
94,0.0111146,0.2535,0.00549731,0.883787,0.0141198,0.0228349,0.0105424,14.8956,0.99356,0.608154,0.00253643,0.00170178,0.000100989,369,73.8,-0.405434,0,0
95,0.0496643,0.0391518,0.00111154,0.0679848,0.0808344,0.0348325,0,34.3997,0.867762,1.18326,0.0314213,0,0.0360589,247,49.4,-1.38517,0,0
96,0.22395,0.0600077,0.110611,0.00105963,0.0114159,0.095592,0.000142236,21.3347,1.49552,0.641826,0.00611782,0,0.000266217,220,44,0.105363,0,0
97,0.192986,0.9629,0.0638512,0.0258591,0.005133,0.261308,0.0047513,45.3983,2.1165,0.200484,0.152953,0,0,337,67.4,-3.30206,0,0
98,0.113104,0.0114754,0.0364562,0,0.022264,0.0534754,0.00182209,32.32,1.5691,0.511786,0.00727856,0.00346375,0.0429571,252,50.4,0.105632,0,0
99,0.538429,0.0252,0,0.0867251,0.00166777,0,0.000429745,28.2956,1.84557,1.40203,0.00443726,0.0105973,0.0714316,222,44.4,-0.870618,0,0
100,0.3127,1.6895,0.00143907,0.0161511,0.0777892,0,0.00349116,21.7238,1.6072,0.96075,0.0186369,0.0285056,0.00012852,144,28.8,-0.144669,0,0
101,0.0373146,0.643423,0.00150484,0.00217355,0.00336738,0.00975814,0,48.627,0.966761,2.20548,0.284725,0.00393314,0,489,97.8,-3.28599,2,1
102,0.0799186,0.378845,0.00562236,0.0123445,0.035405,0.0348899,0.00495341,34.1813,1.48341,1.39386,0.191554,0,0.020514,472,94.4,-0.147865,0,0
103,0.0452276,0.572051,0.0265653,0.467424,0.16514,0.00113228,0.0351578,29.0719,1.91484,0.889291,0.00373003,0.101824,0,129,25.8,3.7356,0,0
104,0.0911961,0.488403,0.0423502,0,0.0431544,0.0348866,0.0014488,49.7897,1.18927,1.72855,0.74651,0,0.000779063,203,40.6,-1.73677,0,0
105,0.501847,0.0202847,0.0649844,0.945788,0.0102969,0.0157287,0.000191444,37.9848,0.407884,0.628434,0.00592389,0.00102123,0.00334209,208,41.6,0.0967764,0,0
106,0.0167237,0.0526165,0,0.0783789,0,0.00510723,0.00579019,43.3982,2.34691,0.369147,0.208072,0.0290958,0.000116129,120,24,0.0894944,0,0
107,0.781455,0.0873178,0.164517,0.00468354,0.00275744,0.00299129,0,44.9681,4.4067,0.0391662,0.00113258,0.00939505,0.00382655,208,41.6,4.95252,10,1
108,0.829506,0.0121006,0.00525046,0.0344458,0.147074,0.0565656,0,33.4352,0.758713,0.666868,0.00209186,0,0,141,28.2,2.20174,0,0
109,0.403558,1.74486,0.143875,0,0,0.00168151,0.000601929,19.1191,0.963605,0.78041,0.0111814,0.269515,0,190,38,-0.656223,0,0
110,0.68469,0.0260963,0.0290061,0.0119278,0.00369622,0,0.0128724,37.3501,2.38875,1.45696,0.00511001,0.0186902,0.000158301,221,44.2,-0.501642,0,0
111,0.468683,0.0106395,0.00165088,0.047219,0.00268929,0,0.000138566,34.0143,2.16974,0.398104,0.475357,0.0162484,0,834,166.8,0.453321,0,0
112,0.0127638,2.55388,0.00944234,0.0172408,0,0,0.0218756,29.1405,0.579328,0.900053,0.322773,0,0.0141241,890,178,0.477868,0,0
113,0.0200551,0.0101376,0,0,0.0169651,0.175407,0.00282157,31.7882,2.68691,0.808256,0.0136718,0.116834,0.00378425,578,115.6,0.53194,0,0
114,0.548355,0.279583,0.0129673,0.0226841,0.062826,0.00242045,0.02374,18.3872,1.79309,0.459946,0.0102127,0.0245458,0,175,35,0.360984,0,0
115,0.0141116,0.063301,0.0450426,0.164645,0.0781213,0.0512181,0.00194299,36.1312,2.02496,0.826794,0.513489,0.00148875,0.0280037,155,31,-0.4044,0,0
116,0.01357,0.281563,0.00906473,0.0357224,0,0.204412,0.000752011,21.7712,1.82613,0.585531,0.0272065,0.00135586,0.0103382,202,40.4,0.0892722,0,0
117,0.329564,0.0239722,0.0189467,0,0,0,0.0977584,13.8167,0.785243,0.491306,0.0471565,0.038855,0,44,8.8,-1.29536,0,0
118,0.0155939,0.0107359,0.00309942,0.00328729,0.00394018,0.054487,0.000480658,22.3771,0.306683,0.794487,0.0116233,0.00666166,0.0530859,578,115.6,0.258284,0,0
119,0.749815,0.167363,0.0327434,0.191406,0,0,0.0060983,32.7577,3.05717,1.34201,0.0153127,0,0.000346661,202,40.4,-0.190358,0,0
120,0.351914,7.7822,0,0.151112,0.022698,0.0147166,0.00502194,44.9896,2.15332,1.46768,0.0219191,0.00243075,0.000203306,378,75.6,0.372242,0,0
121,0.148242,0.184629,0.0685783,0,0.00133018,0.00737112,0.000334363,19.3972,1.81862,0.791864,0.0181164,0.00352082,0.000391907,173,34.6,0.120818,0,0
122,0.321093,1.65069,0.0149031,0,0.153615,0.0684815,0.00181057,32.9597,2.07214,1.47439,0.187374,0.0013598,0.0523613,173,34.6,-0.449375,0,0
123,0.618787,0.0116153,0.0108002,0.0066466,0,0,0.0172946,25.5639,0.758335,0.662446,0.0155829,0.0913444,0.023648,122,24.4,1.83282,0,0
